행정구역별(읍면동),연령별,2010
황학동,60~64세,653
황학동,65~69세,493
황학동,70~74세,348
황학동,75~79세,211
황학동,80~84세,114
황학동,85세 이상,57
중림동,0~4세,419
중림동,5~9세,392
중림동,10~14세,589
중림동,15~19세,740
중림동,20~24세,790
중림동,25~29세,939
중림동,30~34세,1005
중림동,35~39세,954
중림동,40~44세,999
중림동,45~49세,971
중림동,50~54세,916
중림동,55~59세,703
중림동,60~64세,643
중림동,65~69세,582
중림동,70~74세,432
중림동,75~79세,266
중림동,80~84세,152
중림동,85세 이상,73
용산구,0~4세,8987
용산구,5~9세,8622
용산구,10~14세,10265
용산구,15~19세,11800
용산구,20~24세,14143
용산구,25~29세,21051
용산구,30~34세,20724
용산구,35~39세,20822
용산구,40~44세,18000
용산구,45~49세,16576
용산구,50~54세,16427
용산구,55~59세,12743
용산구,60~64세,10737
용산구,65~69세,9434
용산구,70~74세,7829
용산구,75~79세,4863
용산구,80~84세,2643
용산구,85세 이상,1562
후암동,0~4세,673
후암동,5~9세,727
후암동,10~14세,934
후암동,15~19세,1109
후암동,20~24세,1025
후암동,25~29세,1489
후암동,30~34세,1645
후암동,35~39세,1585
후암동,40~44세,1485
후암동,45~49세,1405
후암동,50~54세,1326
후암동,55~59세,990
후암동,60~64세,930
후암동,65~69세,781
후암동,70~74세,593
후암동,75~79세,344
후암동,80~84세,241
후암동,85세 이상,154
용산2가동,0~4세,448
용산2가동,5~9세,416
용산2가동,10~14세,600
용산2가동,15~19세,672
용산2가동,20~24세,703
용산2가동,25~29세,1191
용산2가동,30~34세,1223
용산2가동,35~39세,1020
용산2가동,40~44세,885
용산2가동,45~49세,908
용산2가동,50~54세,1043
용산2가동,55~59세,731
용산2가동,60~64세,667
용산2가동,65~69세,549
용산2가동,70~74세,478
용산2가동,75~79세,263
용산2가동,80~84세,176
용산2가동,85세 이상,103
남영동,0~4세,148
남영동,5~9세,136
남영동,10~14세,211
남영동,15~19세,311
남영동,20~24세,481
남영동,25~29세,765
남영동,30~34세,604
남영동,35~39세,564
남영동,40~44세,571
남영동,45~49세,575
남영동,50~54세,560
남영동,55~59세,517
남영동,60~64세,350
남영동,65~69세,318
남영동,70~74세,272
남영동,75~79세,144
남영동,80~84세,90
남영동,85세 이상,45
원효로2동,0~4세,743
원효로2동,5~9세,751
원효로2동,10~14세,932
원효로2동,15~19세,955
원효로2동,20~24세,774
원효로2동,25~29세,1061
원효로2동,30~34세,1313
원효로2동,35~39세,1488
원효로2동,40~44세,1375
원효로2동,45~49세,1293
원효로2동,50~54세,1101
원효로2동,55~59세,844
원효로2동,60~64세,672
원효로2동,65~69세,586
원효로2동,70~74세,495
원효로2동,75~79세,308
원효로2동,80~84세,163
원효로2동,85세 이상,101
효창동,0~4세,467
효창동,5~9세,516
효창동,10~14세,633
효창동,15~19세,670
효창동,20~24세,646
효창동,25~29세,911
효창동,30~34세,940
효창동,35~39세,1021
효창동,40~44세,955
효창동,45~49세,833
효창동,50~54세,769
효창동,55~59세,567
효창동,60~64세,491
효창동,65~69세,456
효창동,70~74세,411
효창동,75~79세,245
효창동,80~84세,119
효창동,85세 이상,106
용문동,0~4세,684
용문동,5~9세,563
용문동,10~14세,667
용문동,15~19세,643
용문동,20~24세,663
용문동,25~29세,1030
용문동,30~34세,1179
용문동,35~39세,1305
용문동,40~44세,1072
용문동,45~49세,926
용문동,50~54세,912
용문동,55~59세,733
용문동,60~64세,624
용문동,65~69세,526
용문동,70~74세,421
용문동,75~79세,249
용문동,80~84세,140
용문동,85세 이상,63
이촌1동,0~4세,1388
이촌1동,5~9세,1649
이촌1동,10~14세,1621
이촌1동,15~19세,1297
이촌1동,20~24세,1124
이촌1동,25~29세,1431
이촌1동,30~34세,1774
이촌1동,35~39세,2728
이촌1동,40~44세,2618
이촌1동,45~49세,2015
이촌1동,50~54세,1864
이촌1동,55~59세,1317
이촌1동,60~64세,971
이촌1동,65~69세,944
이촌1동,70~74세,831
이촌1동,75~79세,646
이촌1동,80~84세,326
이촌1동,85세 이상,169
이촌2동,0~4세,525
이촌2동,5~9세,400
이촌2동,10~14세,399
이촌2동,15~19세,426
이촌2동,20~24세,552
이촌2동,25~29세,805
이촌2동,30~34세,837
이촌2동,35~39세,926
이촌2동,40~44세,728
이촌2동,45~49세,664
이촌2동,50~54세,798
이촌2동,55~59세,673
이촌2동,60~64세,559
이촌2동,65~69세,440
이촌2동,70~74세,349
이촌2동,75~79세,219
이촌2동,80~84세,121
이촌2동,85세 이상,61
이태원1동,0~4세,229
이태원1동,5~9세,201
이태원1동,10~14세,226
이태원1동,15~19세,324
이태원1동,20~24세,482
이태원1동,25~29세,805
이태원1동,30~34세,686
이태원1동,35~39세,632
이태원1동,40~44세,548
이태원1동,45~49세,541
이태원1동,50~54세,597
이태원1동,55~59세,496
이태원1동,60~64세,363
이태원1동,65~69세,353
이태원1동,70~74세,340
이태원1동,75~79세,246
이태원1동,80~84세,132
이태원1동,85세 이상,68
이태원2동,0~4세,352
이태원2동,5~9세,335
이태원2동,10~14세,393
이태원2동,15~19세,451
이태원2동,20~24세,539
이태원2동,25~29세,972
이태원2동,30~34세,916
이태원2동,35~39세,873
이태원2동,40~44세,718
이태원2동,45~49세,706
이태원2동,50~54세,764
이태원2동,55~59세,624
이태원2동,60~64세,580
이태원2동,65~69세,552
이태원2동,70~74세,449
이태원2동,75~79세,282
이태원2동,80~84세,123
이태원2동,85세 이상,79
서빙고동,0~4세,435
서빙고동,5~9세,447
서빙고동,10~14세,537
서빙고동,15~19세,557
서빙고동,20~24세,503
서빙고동,25~29세,646
서빙고동,30~34세,768
서빙고동,35~39세,894
서빙고동,40~44세,924
서빙고동,45~49세,860
서빙고동,50~54세,776
서빙고동,55~59세,564
서빙고동,60~64세,534
서빙고동,65~69세,467
서빙고동,70~74세,490
서빙고동,75~79세,347
서빙고동,80~84세,190
서빙고동,85세 이상,97
보광동,0~4세,534
보광동,5~9세,542
보광동,10~14세,715
보광동,15~19세,936
보광동,20~24세,1113
보광동,25~29세,1761
보광동,30~34세,1618
보광동,35~39세,1519
보광동,40~44세,1393
보광동,45~49세,1317
보광동,50~54세,1301
보광동,55~59세,946
보광동,60~64세,883
보광동,65~69세,751
보광동,70~74세,602
보광동,75~79세,355
보광동,80~84세,166
보광동,85세 이상,101
청파동,0~4세,674
청파동,5~9세,696
청파동,10~14세,1047
청파동,15~19세,1773
청파동,20~24세,2446
청파동,25~29세,2778
청파동,30~34세,2152
청파동,35~39세,1856
청파동,40~44세,1647
청파동,45~49세,1552
청파동,50~54세,1332
청파동,55~59세,1088
청파동,60~64세,925
청파동,65~69세,839
청파동,70~74세,641
청파동,75~79세,344
청파동,80~84세,181
청파동,85세 이상,125
원효로1동,0~4세,580
원효로1동,5~9세,294
원효로1동,10~14세,352
원효로1동,15~19세,417
원효로1동,20~24세,705
원효로1동,25~29세,1250
원효로1동,30~34세,1271
원효로1동,35~39세,1107
원효로1동,40~44세,679
원효로1동,45~49세,646
원효로1동,50~54세,701
원효로1동,55~59세,536
원효로1동,60~64세,473
원효로1동,65~69세,382
원효로1동,70~74세,286
원효로1동,75~79세,170
원효로1동,80~84세,79
원효로1동,85세 이상,55
한강로동,0~4세,495
한강로동,5~9세,392
한강로동,10~14세,378
한강로동,15~19세,508
한강로동,20~24세,1091
한강로동,25~29세,1813
한강로동,30~34세,1641
한강로동,35~39세,1329
한강로동,40~44세,953
한강로동,45~49세,956
한강로동,50~54세,1144
한강로동,55~59세,910
한강로동,60~64세,740
한강로동,65~69세,595
한강로동,70~74세,465
한강로동,75~79세,289
한강로동,80~84세,180
한강로동,85세 이상,125
한남동,0~4세,612
한남동,5~9세,557
한남동,10~14세,620
한남동,15~19세,751
한남동,20~24세,1296
한남동,25~29세,2343
한남동,30~34세,2157
한남동,35~39세,1975
한남동,40~44세,1449
한남동,45~49세,1379
한남동,50~54세,1439
한남동,55~59세,1207
한남동,60~64세,975
한남동,65~69세,895
한남동,70~74세,706
한남동,75~79세,412
한남동,80~84세,216
한남동,85세 이상,110
성동구,0~4세,12589
성동구,5~9세,12506
성동구,10~14세,15020
성동구,15~19세,17509
성동구,20~24세,20775
성동구,25~29세,27250
성동구,30~34세,26283
성동구,35~39세,27841
성동구,40~44세,24238
성동구,45~49세,22828
성동구,50~54세,22431
성동구,55~59세,17027
성동구,60~64세,13943
성동구,65~69세,11641
성동구,70~74세,8748
성동구,75~79세,5295
성동구,80~84세,2684
성동구,85세 이상,1669
왕십리2동,0~4세,764
왕십리2동,5~9세,792
왕십리2동,10~14세,990
왕십리2동,15~19세,1153
왕십리2동,20~24세,1116
왕십리2동,25~29세,1503
왕십리2동,30~34세,1636
왕십리2동,35~39세,1775
왕십리2동,40~44세,1548
왕십리2동,45~49세,1403
왕십리2동,50~54세,1355
왕십리2동,55~59세,1068
왕십리2동,60~64세,912
왕십리2동,65~69세,693
왕십리2동,70~74세,523
왕십리2동,75~79세,309
왕십리2동,80~84세,156
왕십리2동,85세 이상,100
마장동,0~4세,1014
마장동,5~9세,1112
마장동,10~14세,1377
마장동,15~19세,1519
마장동,20~24세,1751
마장동,25~29세,2130
마장동,30~34세,1972
마장동,35~39세,2078
마장동,40~44세,1990
마장동,45~49세,1923
마장동,50~54세,1842
마장동,55~59세,1429
마장동,60~64세,1198
마장동,65~69세,956
마장동,70~74세,708
마장동,75~79세,466
마장동,80~84세,209
마장동,85세 이상,144
사근동,0~4세,236
사근동,5~9세,258
사근동,10~14세,378
사근동,15~19세,1078
사근동,20~24세,3000
사근동,25~29세,2568
사근동,30~34세,822
사근동,35~39세,666
사근동,40~44세,567
사근동,45~49세,579
사근동,50~54세,563
사근동,55~59세,473
사근동,60~64세,458
사근동,65~69세,445
사근동,70~74세,323
사근동,75~79세,157
사근동,80~84세,93
사근동,85세 이상,44
행당1동,0~4세,679
행당1동,5~9세,682
행당1동,10~14세,824
행당1동,15~19세,1059
행당1동,20~24세,1341
행당1동,25~29세,1722
행당1동,30~34세,1532
행당1동,35~39세,1553
행당1동,40~44세,1343
행당1동,45~49세,1248
행당1동,50~54세,1325
행당1동,55~59세,967
행당1동,60~64세,806
행당1동,65~69세,706
행당1동,70~74세,518
행당1동,75~79세,344
행당1동,80~84세,142
행당1동,85세 이상,96
행당2동,0~4세,1380
행당2동,5~9세,1484
행당2동,10~14세,1518
행당2동,15~19세,1346
행당2동,20~24세,1306
행당2동,25~29세,1749
행당2동,30~34세,2295
행당2동,35~39세,2739
행당2동,40~44세,2192
행당2동,45~49세,1892
행당2동,50~54세,1861
행당2동,55~59세,1332
행당2동,60~64세,1054
행당2동,65~69세,899
행당2동,70~74세,676
행당2동,75~79세,391
행당2동,80~84세,217
행당2동,85세 이상,137
응봉동,0~4세,936
응봉동,5~9세,887
응봉동,10~14세,1077
응봉동,15~19세,945
응봉동,20~24세,806
응봉동,25~29세,1111
응봉동,30~34세,1473
응봉동,35~39세,1910
응봉동,40~44세,1647
응봉동,45~49세,1296
응봉동,50~54세,1092
응봉동,55~59세,916
응봉동,60~64세,774
응봉동,65~69세,715
응봉동,70~74세,480
응봉동,75~79세,296
응봉동,80~84세,153
응봉동,85세 이상,84
금호1가동,0~4세,722
금호1가동,5~9세,683
금호1가동,10~14세,848
금호1가동,15~19세,880
금호1가동,20~24세,896
금호1가동,25~29세,1171
금호1가동,30~34세,1362
금호1가동,35~39세,1437
금호1가동,40~44세,1349
금호1가동,45~49세,1175
금호1가동,50~54세,1230
금호1가동,55~59세,948
금호1가동,60~64세,767
금호1가동,65~69세,576
금호1가동,70~74세,518
금호1가동,75~79세,305
금호1가동,80~84세,155
금호1가동,85세 이상,91
금호4가동,0~4세,819
금호4가동,5~9세,641
금호4가동,10~14세,596
금호4가동,15~19세,737
금호4가동,20~24세,801
금호4가동,25~29세,1240
금호4가동,30~34세,1509
금호4가동,35~39세,1587
금호4가동,40~44세,1190
금호4가동,45~49세,1042
금호4가동,50~54세,1058
금호4가동,55~59세,799
금호4가동,60~64세,678
금호4가동,65~69세,584
금호4가동,70~74세,450
금호4가동,75~79세,257
금호4가동,80~84세,132
금호4가동,85세 이상,78
성수1가1동,0~4세,791
성수1가1동,5~9세,870
성수1가1동,10~14세,1057
성수1가1동,15~19세,1173
성수1가1동,20~24세,1051
성수1가1동,25~29세,1365
성수1가1동,30~34세,1567
성수1가1동,35~39세,1763
성수1가1동,40~44세,1635
성수1가1동,45~49세,1558
성수1가1동,50~54세,1283
성수1가1동,55~59세,930
성수1가1동,60~64세,676
성수1가1동,65~69세,540
성수1가1동,70~74세,412
성수1가1동,75~79세,257
성수1가1동,80~84세,119
성수1가1동,85세 이상,59
성수1가2동,0~4세,859
성수1가2동,5~9세,667
성수1가2동,10~14세,734
성수1가2동,15~19세,919
성수1가2동,20~24세,1336
성수1가2동,25~29세,2090
성수1가2동,30~34세,2005
성수1가2동,35~39세,1760
성수1가2동,40~44세,1299
성수1가2동,45~49세,1326
성수1가2동,50~54세,1450
성수1가2동,55~59세,1008
성수1가2동,60~64세,815
성수1가2동,65~69세,633
성수1가2동,70~74세,428
성수1가2동,75~79세,235
성수1가2동,80~84세,108
