Admin,Age,Noedu,Primary,Middle,High,College,University,Master,Phd
Dongdaemoon,60~64,0.032986209,0.243118491,0.259273853,0.338755981,0.026512806,0.08347875,0.010864059,0.005009851
Dongdaemoon,65~69,0.065764404,0.320543985,0.231587938,0.268839104,0.024242822,0.076341896,0.00965771,0.00302214
Dongdaemoon,70~74,0.115773731,0.35902173,0.190199701,0.221342483,0.019442245,0.079352512,0.010644849,0.00422275
Dongdaemoon,75~79,0.190553988,0.395663152,0.149858904,0.157285014,0.020941631,0.073964058,0.007871677,0.003861577
Dongdaemoon,80~84,0.304604486,0.381345927,0.122786305,0.112750885,0.016528926,0.050177096,0.008264463,0.003541913
Dongdaemoon,85ov,0.450990099,0.345544554,0.086633663,0.063366337,0.013861386,0.036138614,0.001980198,0.001485149
Jungnang,6~9,0.190530131,0.809469869,0,0,0,0,0,0
Jungnang,10~14,0,0.519468908,0.478117037,0.002414055,0,0,0,0
Jungnang,15~19,0.00041313,0.001164276,0.144933524,0.670172012,0.096221738,0.08709532,0,0
Jungnang,20~24,0.000441729,0.000736214,0.006920415,0.204998896,0.350769344,0.428145476,0.007730251,0.000257675
Jungnang,25~29,0.000847913,0.001300133,0.00955315,0.25929171,0.302280885,0.387270004,0.036234137,0.003222068
Jungnang,30~34,0.00072018,0.002070518,0.012483121,0.330052513,0.251012753,0.345926482,0.050172543,0.00756189
Jungnang,35~39,0.002003828,0.005802129,0.03391554,0.467579854,0.177832277,0.260766838,0.044024405,0.008075129
Jungnang,40~44,0.002932902,0.016669659,0.082659963,0.560094571,0.119919794,0.184952415,0.025498294,0.007272401
Jungnang,45~49,0.00503231,0.058186081,0.155000858,0.545033453,0.077171613,0.135357694,0.01864242,0.00557557
Jungnang,50~54,0.008371692,0.112543153,0.221403913,0.497986191,0.049856157,0.089787112,0.015880322,0.004171461
Jungnang,55~59,0.012768053,0.175304994,0.271614761,0.418996742,0.034098659,0.070735773,0.012048193,0.004432826
Jungnang,60~64,0.029955043,0.25356724,0.260848319,0.347830336,0.027951525,0.06606724,0.010750586,0.003029711
Jungnang,65~69,0.069948348,0.328271828,0.233555293,0.267471529,0.02296347,0.067832472,0.008090111,0.001866949
Jungnang,70~74,0.136643775,0.377267124,0.188677584,0.19721782,0.021042437,0.068586019,0.008892411,0.00167283
Jungnang,75~79,0.228658537,0.397256098,0.139939024,0.14679878,0.023170732,0.057469512,0.005335366,0.001371951
Jungnang,80~84,0.367032967,0.393956044,0.10467033,0.079395604,0.015659341,0.033791209,0.004120879,0.001373626
