[step],Scenario,AC,District,Type,Value
8763,INC,AC100,Dobong,age15,11.612620508326
8763,INC,AC150,Dobong,age15,11.612620508326
8763,INC,AC200,Dobong,age15,11.612620508326
8763,INC,AC100,Dobong,age15,10.8676599474145
8763,INC,AC150,Dobong,age15,10.8676599474145
8763,INC,AC200,Dobong,age15,10.8676599474145
8763,INC,AC100,Dobong,age15,11.5687992988606
8763,INC,AC150,Dobong,age15,11.5687992988606
8763,INC,AC200,Dobong,age15,11.5687992988606
8763,INC,AC100,Dobong,age15,10.34180543383
8763,INC,AC150,Dobong,age15,10.34180543383
8763,INC,AC200,Dobong,age15,10.34180543383
8763,INC,AC100,Dobong,age15,11.1305872042068
8763,INC,AC150,Dobong,age15,11.1305872042068
8763,INC,AC200,Dobong,age15,11.1305872042068
8763,INC,AC100,Dobong,age15,10.9114811568799
8763,INC,AC150,Dobong,age15,10.9114811568799
8763,INC,AC200,Dobong,age15,10.9114811568799
8763,INC,AC100,Dobong,age15,10.9553023663453
8763,INC,AC150,Dobong,age15,10.9553023663453
8763,INC,AC200,Dobong,age15,10.9553023663453
8763,INC,AC100,Dobong,age15,12.2699386503067
8763,INC,AC150,Dobong,age15,12.2699386503067
8763,INC,AC200,Dobong,age15,12.2699386503067
8763,INC,AC100,Dobong,age15,11.4373356704645
8763,INC,AC150,Dobong,age15,11.4373356704645
8763,INC,AC200,Dobong,age15,11.4373356704645
8763,INC,AC100,Dobong,age15,10.4294478527607
8763,INC,AC150,Dobong,age15,10.4294478527607
8763,INC,AC200,Dobong,age15,10.4294478527607
8763,INC,AC100,Dobong,age15,10.4732690622261
8763,INC,AC150,Dobong,age15,10.4732690622261
8763,INC,AC200,Dobong,age15,10.4732690622261
8763,INC,AC100,Dobong,age15,11.5687992988606
8763,INC,AC150,Dobong,age15,11.5687992988606
8763,INC,AC200,Dobong,age15,11.5687992988606
8763,INC,AC100,Dobong,age15,11.0429447852761
8763,INC,AC150,Dobong,age15,11.0429447852761
8763,INC,AC200,Dobong,age15,11.0429447852761
8763,BAU,AC100,Dobong,age1564,1.7601408112649
8763,BAU,AC150,Dobong,age1564,1.7601408112649
8763,BAU,AC200,Dobong,age1564,1.70413633090647
8763,BAU,AC100,Dobong,age1564,1.63213057044564
8763,BAU,AC150,Dobong,age1564,1.63213057044564
8763,BAU,AC200,Dobong,age1564,1.59212737018962
8763,BAU,AC100,Dobong,age1564,1.57612609008721
8763,BAU,AC150,Dobong,age1564,1.57612609008721
8763,BAU,AC200,Dobong,age1564,1.57612609008721
8763,BAU,AC100,Dobong,age1564,1.72813825106008
8763,BAU,AC150,Dobong,age1564,1.72813825106008
8763,BAU,AC200,Dobong,age1564,1.68013441075286
8763,BAU,AC100,Dobong,age1564,1.68813505080406
8763,BAU,AC150,Dobong,age1564,1.68813505080406
8763,BAU,AC200,Dobong,age1564,1.62412993039443
8763,BAU,AC100,Dobong,age1564,1.60812865029202
8763,BAU,AC150,Dobong,age1564,1.60812865029202
8763,BAU,AC200,Dobong,age1564,1.53612288983119
8763,BAU,AC100,Dobong,age1564,1.59212737018962
8763,BAU,AC150,Dobong,age1564,1.59212737018962
8763,BAU,AC200,Dobong,age1564,1.52012160972878
8763,BAU,AC100,Dobong,age1564,1.63213057044564
8763,BAU,AC150,Dobong,age1564,1.63213057044564
8763,BAU,AC200,Dobong,age1564,1.58412673013841
8763,BAU,AC100,Dobong,age1564,1.63213057044564
8763,BAU,AC150,Dobong,age1564,1.63213057044564
8763,BAU,AC200,Dobong,age1564,1.568125450036
8763,BAU,AC100,Dobong,age1564,1.73613889111129
8763,BAU,AC150,Dobong,age1564,1.73613889111129
8763,BAU,AC200,Dobong,age1564,1.68813505080406
8763,BAU,AC100,Dobong,age1564,1.76814145131611
8763,BAU,AC150,Dobong,age1564,1.76814145131611
8763,BAU,AC200,Dobong,age1564,1.70413633090647
8763,BAU,AC100,Dobong,age1564,1.72813825106008
8763,BAU,AC150,Dobong,age1564,1.72813825106008
8763,BAU,AC200,Dobong,age1564,1.67213377070166
8763,BAU,AC100,Dobong,age1564,1.63213057044564
8763,BAU,AC150,Dobong,age1564,1.63213057044564
8763,BAU,AC200,Dobong,age1564,1.61612929034323
8763,BAU,AC100,Dobong,age1564,1.53612288983119
8763,BAU,AC150,Dobong,age1564,1.53612288983119
8763,BAU,AC200,Dobong,age1564,1.50412032962637
8763,BAU,AC100,Dobong,age1564,1.64813185054804
8763,BAU,AC150,Dobong,age1564,1.64813185054804
8763,BAU,AC200,Dobong,age1564,1.59212737018962
8763,BAU,AC100,Dobong,age1564,1.55212416993359
8763,BAU,AC150,Dobong,age1564,1.55212416993359
8763,BAU,AC200,Dobong,age1564,1.52812224977998
8763,BAU,AC100,Dobong,age1564,1.54412352988239
8763,BAU,AC150,Dobong,age1564,1.54412352988239
8763,BAU,AC200,Dobong,age1564,1.50412032962637
8763,BAU,AC100,Dobong,age1564,1.44811584926794
8763,BAU,AC150,Dobong,age1564,1.44811584926794
8763,BAU,AC200,Dobong,age1564,1.44011520921674
8763,BAU,AC100,Dobong,age1564,1.41611328906313
8763,BAU,AC150,Dobong,age1564,1.41611328906313
8763,BAU,AC200,Dobong,age1564,1.3681094487559
8763,BAU,AC100,Dobong,age1564,1.65613249059925
