"gu","code","admin_cd","subdis","20s","30s","40s","50s","60over"
"Seodaemoon",1113066,11410660,"Hongeun1",2331,3349,4241,4518,3485
"Seodaemoon",1113068,11410685,"Hongeun2",2374,3267,4207,4453,3513
"Seodaemoon",1113069,11410690,"Namgaja1",2485,4010,5051,5215,3814
"Seodaemoon",1113070,11410700,"Namgaja2",2371,3307,4298,4487,3407
"Seodaemoon",1113071,11410710,"Bukgaja1",2296,3628,4759,4950,3606
"Seodaemoon",1113072,11410720,"Bukgaja2",2270,3229,4087,4147,3300
"Seodaemoon",1113073,11410565,"Chunghyun",2570,3550,4468,4469,3512
"Seodaemoon",1113074,11410555,"Bukahyun",2404,3428,4231,4309,3210
"Seodaemoon",1113075,11410585,"Shinchon",2652,3445,4542,4720,3710
"Seodaemoon",1113076,11410615,"Yeonhee",2603,3429,4446,4730,3775
"Mapo",1114059,11440590,"Yonggang",2582,4094,5270,5396,4034
"Mapo",1114060,11440600,"Daeheung",2541,3441,4319,4477,3412
"Mapo",1114061,11440610,"Yeomni",2371,3361,4322,4364,3334
"Mapo",1114063,11440630,"Sinsoo",2590,3723,4865,5001,3993
"Mapo",1114066,11440660,"Seogyo",2509,3391,4402,4826,3762
"Mapo",1114068,11440680,"Hapjeong",2477,3419,4348,4376,3617
"Mapo",1114069,11440690,"Mangwon1",2449,3338,4015,4142,3419
"Mapo",1114070,11440700,"Mangwon2",2407,3412,4327,4363,3360
"Mapo",1114071,11440710,"Yeonnam",2525,3344,4294,4433,3494
"Mapo",1114072,11440720,"Seongsan1",2367,3292,4213,4293,3339
"Mapo",1114073,11440730,"Seongsan2",2387,3543,4684,4944,3740
"Mapo",1114074,11440740,"Sangam",2453,3773,5006,5193,4002
"Mapo",1114075,11440585,"Dohwa",2585,3874,4932,5276,4130
"Mapo",1114076,11440655,"Seogang",2576,3771,5109,5410,4192
"Mapo",1114077,11440565,"Gongdeok",2530,3788,4664,4765,3779
"Mapo",1114078,11440555,"Ahyun",2652,4174,5290,5367,4071
"Yangchun",1115051,11470510,"Mok1",2641,4018,5702,6143,5006
"Yangchun",1115052,11470520,"Mok2",2547,3474,4606,4889,4002
"Yangchun",1115053,11470530,"Mok3",2513,3495,4396,4716,3833
"Yangchun",1115054,11470540,"Mok4",2432,3443,4735,5026,3790
"Yangchun",1115057,11470560,"Shinwol1",2374,3151,3830,3960,3340
"Yangchun",1115058,11470570,"Shinwol2",2441,3342,4250,4280,3624
"Yangchun",1115059,11470580,"Shinwol3",2425,3068,3849,3974,3358
"Yangchun",1115060,11470590,"Shinwol4",2463,3408,4252,4221,3544
"Yangchun",1115061,11470600,"Shinwol5",2464,3341,4225,4295,3623
"Yangchun",1115062,11470610,"Shinwol6",2425,3265,4233,4273,3457
"Yangchun",1115063,11470611,"Shinwol7",2370,3215,3989,4080,3339
"Yangchun",1115064,11470620,"Shinjeong1",2539,3721,5419,5944,4601
"Yangchun",1115065,11470630,"Shinjeong2",2632,3806,5340,5626,4199
"Yangchun",1115066,11470640,"Shinjeong3",2436,3476,4526,4659,3806
"Yangchun",1115069,11470670,"Shinjeong6",2696,3963,5642,6265,5142
"Yangchun",1115070,11470680,"Shinjeong7",2502,3626,5004,5280,4041
"Yangchun",1115071,11470550,"Mok5",2730,4055,5937,6386,5236
"Yangchun",1115072,11470650,"Shinjeong4",2487,3376,4104,4257,3505
"Gangseo",1116051,11500510,"Yeomchang",2449,3811,5064,5238,3988
"Gangseo",1116052,11500520,"Deungchon1",2561,3562,4602,4741,3847
"Gangseo",1116053,11500530,"Deungchon2",2468,3436,4508,4818,4140
"Gangseo",1116054,11500535,"Deungchon3",2327,3484,4675,4624,3606
"Gangseo",1116055,11500590,"Hwagokbon",2359,3100,3861,3904,3281
"Gangseo",1116057,11500550,"Hwagok2",2351,3127,3861,3919,3216
"Gangseo",1116058,11500560,"Hwagok3",2350,3346,4439,4691,4120
"Gangseo",1116059,11500570,"Hwagok4",2301,3102,3859,3880,3335
"Gangseo",1116061,11500591,"Hwagok6",2439,3364,4349,4608,3899
"Gangseo",1116063,11500593,"Hwagok8",2317,3176,3915,3949,3316
"Gangseo",1116064,11500603,"Gayang1",2427,3646,4757,5184,4193
"Gangseo",1116065,11500604,"Gayang2",2328,3384,4349,4285,3736
"Gangseo",1116066,11500605,"Gayang3",2479,3555,4209,4166,3317
"Gangseo",1116067,11500611,"Balsan1",2340,3563,4446,4445,3626
"Gangseo",1116069,11500620,"Gonghang",2515,3256,3905,4077,3495
"Gangseo",1116070,11500630,"Banghwa1",2449,3485,4475,4565,3670
